QuantityX	Name	Edition	Foil	Price	List name
1x	Bone Splinters	Avacyn Restored		$0.20	B/W Commander randoms
1x	Boots of Speed	Adventures in the Forgotten Realms		$0.20	Osgir others
1x	Born to Drive	Kamigawa: Neon Dynasty		$0.20	Baldurs gate uncommons
1x	Bouncer's Beatdown	Streets of New Capenna		$0.20	Baldurs gate uncommons
1x	Bouncer's Beatdown	Streets of New Capenna		$0.20	Green uncommons
1x	Brackish Trudge	Strixhaven: School of Mages		$0.20	Baldurs gate uncommons
1x	Brackish Trudge	Strixhaven: School of Mages		$0.20	Black uncommons
1x	Brackish Trudge	Strixhaven: School of Mages		$0.20	New capenna, strixhaven rares uncommons
1x	Bride's Gown	Innistrad: Crimson Vow		$0.20	Baldurs gate uncommons
1x	Bride's Gown	Innistrad: Crimson Vow		$0.20	New capenna, strixhaven rares uncommons
2x	Brokers Charm	Streets of New Capenna		$0.20	B/W Commander randoms
1x	Brokers Charm	Streets of New Capenna		$0.20	Baldurs gate uncommons
1x	Burlfist Oak	Core Set 2021		$0.20	Green uncommons
1x	Burning Hands	Adventures in the Forgotten Realms		$0.20	Red uncommons
1x	Cabaretti Charm	Streets of New Capenna		$0.20	Baldurs gate uncommons
1x	Cabaretti Charm	Streets of New Capenna		$0.20	Multicolor uncommons
1x	Cabaretti Charm	Streets of New Capenna		$0.20	New capenna, strixhaven rares uncommons
1x	Call In a Professional	Streets of New Capenna		$0.20	B/W Commander randoms
1x	Call In a Professional	Streets of New Capenna		$0.20	Baldurs gate uncommons
1x	Call In a Professional	Streets of New Capenna		$0.20	Red uncommons
1x	Cancel	Ixalan		$0.20	Ezuri
1x	Cancel	Magic 2014		$0.20	Ezuri
1x	Cancel	Shards of Alara		$0.20	Ezuri
1x	Candlekeep Inspiration	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Candlekeep Inspiration	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Carnivorous Plant	Fourth Edition		$0.20	Old cards
1x	Cartouche of Zeal	Amonkhet		$0.20	Foil rares and uncommons
1x	Catapult Fodder //  // Catapult Captain	Innistrad: Crimson Vow		$0.20	Black uncommons
1x	Check for Traps	Adventures in the Forgotten Realms		$0.20	Black uncommons
1x	Cloak of Confusion	Ice Age		$0.20	Old cards
1x	Cloakwood Hermit	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate
1x	Cloakwood Hermit	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate rares
3x	Cloakwood Hermit	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Clockwork Hydra	Jumpstart 2022		$0.20	April 2023
1x	Cloudkill	Commander Legends: Battle for Baldur's Gate		$0.20	Baldurs gate uncommons
1x	Cobbled Lancer	Innistrad: Crimson Vow		$0.20	Baldurs gate uncommons
1x	Cobbled Lancer	Innistrad: Crimson Vow		$0.20	Blue uncommons
1x	Cobbled Lancer	Innistrad: Crimson Vow		$0.20	New capenna, strixhaven rares uncommons
1x	Commencement of Festivities	Kaladesh		$0.20	Foil rares and uncommons
1x	Corpse Appraiser	Streets of New Capenna		$0.20	Baldurs gate uncommons
1x	Corpse Appraiser	Streets of New Capenna		$0.20	New capenna, strixhaven rares uncommons
1x	Covert Cutpurse //  // Covetous Geist	Innistrad: Midnight Hunt		$0.20	Baldurs gate uncommons
1x	Covert Cutpurse //  // Covetous Geist	Innistrad: Midnight Hunt		$0.20	Kamigawa and innistrad
2x	Covert Technician	Kamigawa: Neon Dynasty		$0.20	Baldurs gate uncommons
2x	Covert Technician	Kamigawa: Neon Dynasty		$0.20	Kamigawa and innistrad
1x	Craterize	Magic 2013		$0.20	Ezuri
1x	Crawling Sensation	Jumpstart 2022		$0.20	April 2023
2x	Darling of the Masses	Streets of New Capenna		$0.20	Multicolor uncommons
1x	Dauntless Onslaught	Jumpstart		$0.20	White uncommons
1x	Dawnhart Geist	Innistrad: Crimson Vow		$0.20	April 2023
1x	Dawnhart Geist	Innistrad: Crimson Vow		$0.20	White uncommons
1x	Dawnhart Mentor	Innistrad: Midnight Hunt		$0.20	Baldurs gate uncommons
3x	Dawnhart Mentor	Innistrad: Midnight Hunt		$0.20	Kamigawa and innistrad
1x	Deputy of Acquittals	Dragon's Maze		$0.20	Chulane
1x	Detention Vortex	Strixhaven: School of Mages		$0.20	Baldurs gate uncommons
